Original Index,TimeSec,SleepLVL,HR
145,4380,0,52.0
146,4410,0,51.0
147,4440,0,51.0
148,4470,0,54.0
149,4500,0,53.0
150,4530,0,54.0
151,4560,0,55.0
152,4590,0,52.0
153,4620,0,55.0
154,4650,0,56.0
155,4680,0,54.0
156,4710,0,53.0
157,4740,0,57.0
158,4770,0,56.0
159,4800,0,54.0
160,4830,1,56.0
161,4860,1,56.0
162,4890,2,58.0
163,4920,1,57.0
164,4950,2,57.0
165,4980,2,55.0
166,5010,0,55.0
167,5040,1,56.0
168,5070,2,50.0
169,5100,2,49.0
170,5130,2,50.0
171,5160,2,47.0
172,5190,2,51.0
173,5220,2,55.0
174,5250,2,51.0
175,5280,2,53.0
176,5310,2,54.0
177,5340,2,51.0
178,5370,2,53.0
179,5400,2,54.0
180,5430,2,54.0
181,5460,2,59.0
182,5490,2,56.0
183,5520,2,54.0
184,5550,2,56.0
185,5580,2,60.0
186,5610,2,56.0
187,5640,0,59.0
188,5670,0,74.0
189,5700,0,95.0
190,5730,0,78.0
191,5760,0,59.0
192,5790,0,64.0
193,5820,0,77.0
194,5850,1,87.0
195,5880,1,52.0
196,5910,2,57.0
197,5940,2,65.0
198,5970,1,59.0
199,6000,2,58.0
200,6030,2,59.0
201,6060,2,57.0
202,6090,2,59.0
203,6120,2,58.0
204,6150,2,55.0
205,6180,2,59.0
206,6210,2,59.0
207,6240,2,53.0
208,6270,2,54.0
209,6300,2,56.0
210,6330,2,57.0
211,6360,2,59.0
212,6390,2,59.0
213,6420,2,50.0
214,6450,2,57.0
215,6480,2,54.0
216,6510,2,59.0
217,6540,2,57.0
218,6570,2,59.0
219,6600,2,58.0
220,6630,1,59.0
221,6660,2,59.0
222,6690,2,55.0
223,6720,2,59.0
224,6750,1,57.0
225,6780,2,58.0
226,6810,2,57.0
227,6840,2,58.0
228,6870,2,59.0
229,6900,5,56.0
230,6930,5,63.0
231,6960,5,71.0
232,6990,5,71.0
233,7020,5,69.0
234,7050,5,64.0
235,7080,5,63.0
236,7110,5,73.0
237,7140,5,69.0
238,7170,5,62.0
239,7200,5,69.0
240,7230,5,73.0
241,7260,5,68.0
242,7290,5,67.0
243,7320,5,68.0
244,7350,5,76.0
245,7380,5,78.0
246,7410,5,69.0
247,7440,5,64.0
248,7470,5,74.0
249,7500,5,68.0
250,7530,5,59.0
251,7560,5,67.0
252,7590,5,64.0
253,7620,5,65.0
254,7650,5,60.0
255,7680,1,69.0
256,7710,1,57.0
257,7740,5,58.0
258,7770,2,61.0
259,7800,2,57.0
260,7830,2,68.0
261,7860,2,59.0
262,7890,2,61.0
263,7920,2,62.0
264,7950,2,60.0
265,7980,2,64.0
266,8010,2,62.0
267,8040,2,62.0
268,8070,2,55.0
269,8100,2,59.0
270,8130,2,60.0
271,8160,2,59.0
272,8190,2,62.0
273,8220,2,61.0
274,8250,2,62.0
275,8280,2,59.0
276,8310,2,64.0
277,8340,2,63.0
278,8370,2,61.0
279,8400,2,62.0
280,8430,2,61.0
281,8460,2,65.0
282,8490,2,63.0
283,8520,3,63.0
284,8550,2,61.0
285,8580,2,60.0
286,8610,2,62.0
287,8640,2,60.0
288,8670,3,61.0
289,8700,2,60.0
290,8730,2,62.0
291,8760,2,62.0
292,8790,2,60.0
293,8820,2,61.0
294,8850,3,62.0
295,8880,3,60.0
296,8910,3,62.0
297,8940,3,62.0
298,8970,3,63.0
299,9000,3,64.0
300,9030,3,67.0
301,9060,3,60.0
302,9090,3,59.0
303,9120,3,61.0
304,9150,3,62.0
305,9180,3,62.0
306,9210,3,61.0
307,9240,3,59.0
308,9270,3,61.0
309,9300,3,61.0
310,9330,3,60.0
311,9360,3,60.0
312,9390,3,60.0
313,9420,3,60.0
314,9450,3,60.0
315,9480,3,60.0
316,9510,3,59.0
317,9540,3,59.0
318,9570,0,61.0
319,9600,1,61.0
320,9630,1,96.0
321,9660,1,50.0
322,9690,1,58.0
323,9720,0,55.0
324,9750,0,69.0
325,9780,1,61.0
326,9810,1,57.0
327,9840,1,54.0
328,9870,1,54.0
329,9900,1,59.0
330,9930,2,60.0
331,9960,2,52.0
332,9990,2,59.0
333,10020,2,57.0
334,10050,2,54.0
335,10080,2,58.0
336,10110,2,58.0
337,10140,2,54.0
338,10170,0,58.0
339,10200,0,59.0
340,10230,0,74.0
341,10260,0,73.0
342,10290,0,56.0
343,10320,0,52.0
344,10350,0,55.0
345,10380,1,65.0
346,10410,2,50.0
347,10440,2,57.0
348,10470,2,52.0
349,10500,2,53.0
350,10530,2,58.0
351,10560,2,52.0
352,10590,2,56.0
353,10620,2,54.0
354,10650,2,58.0
355,10680,2,58.0
356,10710,2,57.0
357,10740,2,59.0
358,10770,2,58.0
359,10800,2,59.0
360,10830,2,56.0
361,10860,2,59.0
362,10890,2,58.0
363,10920,2,59.0
364,10950,2,56.0
365,10980,2,59.0
366,11010,2,53.0
367,11040,2,59.0
368,11070,2,58.0
369,11100,2,57.0
370,11130,2,57.0
371,11160,2,56.0
372,11190,2,57.0
373,11220,2,58.0
374,11250,2,58.0
375,11280,2,58.0
376,11310,2,59.0
377,11340,2,58.0
378,11370,2,57.0
379,11400,2,58.0
380,11430,2,59.0
381,11460,2,59.0
382,11490,3,58.0
383,11520,2,59.0
384,11550,2,59.0
385,11580,3,59.0
386,11610,2,59.0
387,11640,2,57.0
388,11670,0,58.0
389,11700,0,59.0
390,11730,2,55.0
391,11760,1,49.0
392,11790,1,49.0
393,11820,0,58.0
394,11850,0,50.0
395,11880,1,56.0
396,11910,1,54.0
397,11940,1,51.0
398,11970,2,55.0
399,12000,2,59.0
400,12030,2,57.0
401,12060,1,56.0
402,12090,1,59.0
403,12120,1,59.0
404,12150,2,54.0
405,12180,5,59.0
406,12210,5,56.0
407,12240,5,55.0
408,12270,5,61.0
409,12300,5,65.0
410,12330,5,69.0
411,12360,5,64.0
412,12390,5,60.0
413,12420,5,69.0
414,12450,5,68.0
415,12480,5,68.0
416,12510,5,64.0
417,12540,5,65.0
418,12570,5,64.0
419,12600,5,61.0
420,12630,5,67.0
421,12660,5,64.0
422,12690,5,68.0
423,12720,5,63.0
424,12750,5,63.0
425,12780,5,59.0
426,12810,5,60.0
427,12840,5,61.0
428,12870,5,69.0
429,12900,5,60.0
430,12930,5,59.0
431,12960,5,63.0
432,12990,5,64.0
433,13020,5,65.0
434,13050,5,64.0
435,13080,5,61.0
436,13110,5,65.0
437,13140,5,64.0
438,13170,5,63.0
439,13200,5,59.0
440,13230,5,61.0
441,13260,5,65.0
442,13290,5,61.0
443,13320,5,82.0
444,13350,5,83.0
445,13380,5,74.0
446,13410,5,55.0
447,13440,5,62.0
448,13470,5,60.0
449,13500,5,60.0
450,13530,5,63.0
451,13560,5,51.0
452,13590,5,55.0
453,13620,5,58.0
454,13650,5,59.0
455,13680,5,56.0
456,13710,5,59.0
457,13740,5,59.0
458,13770,5,72.0
459,13800,5,59.0
460,13830,5,59.0
461,13860,5,63.0
462,13890,5,61.0
463,13920,5,56.0
464,13950,5,57.0
465,13980,5,61.0
466,14010,5,63.0
467,14040,5,65.0
468,14070,5,61.0
469,14100,5,62.0
470,14130,5,61.0
471,14160,5,53.0
472,14190,5,65.0
473,14220,5,54.0
474,14250,5,59.0
475,14280,5,67.0
476,14310,5,56.0
477,14340,5,62.0
478,14370,5,62.0
479,14400,5,65.0
480,14430,5,61.0
481,14460,5,65.0
482,14490,5,61.0
483,14520,5,67.0
484,14550,5,60.0
485,14580,5,59.0
486,14610,5,60.0
487,14640,5,57.0
488,14670,5,57.0
489,14700,5,69.0
490,14730,5,57.0
491,14760,5,63.0
492,14790,5,63.0
493,14820,5,68.0
494,14850,5,53.0
495,14880,5,67.0
496,14910,5,59.0
497,14940,5,58.0
498,14970,5,52.0
499,15000,5,67.0
500,15030,5,64.0
501,15060,5,62.0
502,15090,5,63.0
503,15120,5,61.0
504,15150,0,65.0
505,15180,1,64.0
506,15210,1,80.0
507,15240,2,59.0
508,15270,1,59.0
509,15300,1,57.0
510,15330,0,57.0
511,15360,0,72.0
512,15390,0,64.0
513,15420,1,58.0
514,15450,1,57.0
515,15480,0,54.0
516,15510,0,55.0
517,15540,0,69.0
518,15570,0,82.0
519,15600,0,67.0
520,15630,0,63.0
521,15660,0,59.0
522,15690,0,61.0
523,15720,0,68.0
524,15750,0,71.0
525,15780,0,69.0
526,15810,0,62.0
527,15840,1,63.0
528,15870,0,54.0
529,15900,0,57.0
530,15930,1,59.0
531,15960,1,55.0
532,15990,1,55.0
533,16020,1,55.0
534,16050,1,54.0
535,16080,1,53.0
536,16110,2,57.0
537,16140,2,54.0
538,16170,2,54.0
539,16200,2,54.0
540,16230,2,52.0
541,16260,2,52.0
542,16290,2,53.0
543,16320,2,61.0
544,16350,2,59.0
545,16380,2,55.0
546,16410,2,57.0
547,16440,2,55.0
548,16470,2,54.0
549,16500,2,54.0
550,16530,2,56.0
551,16560,2,57.0
552,16590,2,59.0
553,16620,2,58.0
554,16650,2,57.0
555,16680,2,58.0
556,16710,2,56.0
557,16740,2,56.0
558,16770,2,57.0
559,16800,2,59.0
560,16830,2,56.0
561,16860,2,55.0
562,16890,2,62.0
563,16920,2,59.0
564,16950,2,60.0
565,16980,2,59.0
566,17010,2,59.0
567,17040,2,59.0
568,17070,2,59.0
569,17100,2,61.0
570,17130,2,57.0
571,17160,2,59.0
572,17190,0,56.0
573,17220,0,59.0
574,17250,0,59.0
575,17280,1,65.0
576,17310,1,55.0
577,17340,1,60.0
578,17370,1,59.0
579,17400,2,59.0
580,17430,2,59.0
581,17460,2,59.0
582,17490,2,57.0
583,17520,2,59.0
584,17550,2,52.0
585,17580,2,53.0
586,17610,2,56.0
587,17640,2,53.0
588,17670,2,57.0
589,17700,2,54.0
590,17730,2,58.0
591,17760,2,56.0
592,17790,2,56.0
593,17820,2,56.0
594,17850,2,55.0
595,17880,2,56.0
596,17910,2,54.0
597,17940,2,58.0
598,17970,2,57.0
599,18000,2,56.0
600,18030,2,57.0
601,18060,2,56.0
602,18090,2,57.0
603,18120,2,56.0
604,18150,2,59.0
605,18180,2,56.0
606,18210,2,56.0
607,18240,2,59.0
608,18270,2,56.0
609,18300,3,59.0
610,18330,2,59.0
611,18360,2,59.0
612,18390,3,58.0
613,18420,2,55.0
614,18450,2,56.0
615,18480,2,58.0
616,18510,2,55.0
617,18540,3,59.0
618,18570,3,58.0
619,18600,3,57.0
620,18630,3,58.0
621,18660,3,58.0
622,18690,3,58.0
623,18720,3,59.0
624,18750,3,59.0
625,18780,3,59.0
626,18810,3,58.0
627,18840,3,59.0
628,18870,3,58.0
629,18900,3,57.0
630,18930,0,61.0
631,18960,0,60.0
632,18990,1,60.0
633,19020,0,57.0
634,19050,1,52.0
635,19080,0,83.0
636,19110,0,56.0
637,19140,0,57.0
638,19170,0,54.0
639,19200,1,51.0
640,19230,0,51.0
641,19260,1,61.0
642,19290,1,52.0
643,19320,1,60.0
644,19350,1,59.0
645,19380,2,59.0
646,19410,2,60.0
647,19440,2,61.0
648,19470,1,58.0
649,19500,2,57.0
650,19530,2,53.0
651,19560,5,59.0
652,19590,5,61.0
653,19620,5,57.0
654,19650,5,59.0
655,19680,5,58.0
656,19710,5,65.0
657,19740,5,63.0
658,19770,5,62.0
659,19800,5,60.0
660,19830,5,69.0
661,19860,5,60.0
662,19890,5,58.0
663,19920,5,63.0
664,19950,5,69.0
665,19980,5,59.0
666,20010,5,65.0
667,20040,5,56.0
668,20070,5,68.0
669,20100,5,58.0
670,20130,5,65.0
671,20160,5,63.0
672,20190,5,59.0
673,20220,5,62.0
674,20250,5,60.0
675,20280,5,68.0
676,20310,5,59.0
677,20340,5,65.0
678,20370,5,59.0
679,20400,5,67.0
680,20430,5,59.0
681,20460,5,65.0
682,20490,5,60.0
683,20520,5,68.0
684,20550,5,63.0
685,20580,5,69.0
686,20610,5,57.0
687,20640,5,74.0
688,20670,5,72.0
689,20700,5,60.0
690,20730,5,65.0
691,20760,5,65.0
692,20790,5,65.0
693,20820,5,69.0
694,20850,5,58.0
695,20880,5,59.0
696,20910,5,59.0
697,20940,5,64.0
698,20970,5,65.0
699,21000,5,59.0
700,21030,5,55.0
701,21060,5,61.0
702,21090,5,63.0
703,21120,5,65.0
704,21150,5,63.0
705,21180,5,69.0
706,21210,5,64.0
707,21240,5,61.0
708,21270,5,68.0
709,21300,5,61.0
710,21330,5,59.0
711,21360,5,65.0
712,21390,5,62.0
713,21420,5,61.0
714,21450,5,62.0
715,21480,5,50.0
716,21510,5,55.0
717,21540,5,64.0
718,21570,5,59.0
719,21600,5,58.0
720,21630,5,59.0
721,21660,5,60.0
722,21690,5,61.0
723,21720,5,62.0
724,21750,5,63.0
725,21780,5,61.0
726,21810,5,59.0
727,21840,5,61.0
728,21870,5,60.0
729,21900,5,57.0
730,21930,5,63.0
731,21960,5,69.0
732,21990,5,59.0
733,22020,5,64.0
734,22050,5,67.0
735,22080,5,65.0
736,22110,5,65.0
737,22140,5,53.0
738,22170,5,62.0
739,22200,5,63.0
740,22230,5,59.0
741,22260,5,62.0
742,22290,5,64.0
743,22320,5,55.0
744,22350,5,55.0
745,22380,5,57.0
746,22410,5,55.0
747,22440,5,62.0
748,22470,5,59.0
749,22500,5,62.0
750,22530,5,62.0
751,22560,5,60.0
752,22590,5,68.0
753,22620,5,68.0
754,22650,5,68.0
755,22680,5,67.0
756,22710,5,69.0
757,22740,5,68.0
758,22770,5,65.0
759,22800,5,67.0
760,22830,5,68.0
761,22860,5,69.0
762,22890,5,63.0
763,22920,5,63.0
764,22950,5,65.0
765,22980,5,68.0
766,23010,5,63.0
767,23040,5,63.0
768,23070,5,62.0
769,23100,5,61.0
770,23130,5,64.0
771,23160,5,63.0
772,23190,5,59.0
773,23220,5,59.0
774,23250,5,62.0
775,23280,5,60.0
776,23310,5,59.0
777,23340,5,54.0
778,23370,5,61.0
779,23400,5,57.0
780,23430,5,59.0
781,23460,5,57.0
782,23490,5,58.0
783,23520,1,59.0
784,23550,1,59.0
785,23580,1,59.0
786,23610,5,59.0
787,23640,1,59.0
788,23670,5,64.0
789,23700,5,65.0
790,23730,5,61.0
791,23760,5,61.0
792,23790,5,78.0
793,23820,5,63.0
794,23850,5,65.0
795,23880,5,65.0
796,23910,5,62.0
797,23940,5,61.0
798,23970,5,56.0
799,24000,5,65.0
800,24030,5,65.0
801,24060,5,61.0
802,24090,5,53.0
803,24120,5,69.0
804,24150,5,63.0
805,24180,5,65.0
806,24210,5,59.0
807,24240,5,58.0
808,24270,5,59.0
809,24300,5,65.0
810,24330,5,72.0
811,24360,5,68.0
812,24390,1,64.0
813,24420,5,59.0
814,24450,5,56.0
815,24480,5,59.0
816,24510,5,63.0
817,24540,5,69.0
818,24570,5,68.0
819,24600,5,60.0
820,24630,5,68.0
821,24660,5,63.0
822,24690,5,60.0
823,24720,5,63.0
824,24750,5,68.0
825,24780,5,65.0
826,24810,5,59.0
827,24840,5,65.0
828,24870,5,61.0
829,24900,5,65.0
830,24930,5,62.0
831,24960,5,62.0
832,24990,5,67.0
833,25020,5,65.0
834,25050,2,64.0
835,25080,0,68.0
836,25110,1,65.0
837,25140,2,54.0
838,25170,2,58.0
839,25200,2,64.0
840,25230,2,62.0
841,25260,2,64.0
842,25290,2,59.0
843,25320,2,61.0
844,25350,2,63.0
845,25380,2,65.0
846,25410,2,65.0
847,25440,2,67.0
848,25470,2,65.0
849,25500,2,65.0
850,25530,2,67.0
851,25560,2,63.0
852,25590,2,65.0
853,25620,2,65.0
854,25650,2,63.0
855,25680,2,65.0
856,25710,2,64.0
857,25740,2,68.0
858,25770,2,65.0
859,25800,2,68.0
860,25830,0,68.0
861,25860,1,85.0
862,25890,1,76.0
863,25920,0,68.0
864,25950,0,57.0
865,25980,0,72.0
866,26010,0,65.0
867,26040,0,68.0
868,26070,0,68.0
869,26100,0,59.0
870,26130,0,62.0
871,26160,0,62.0
872,26190,0,62.0
873,26220,1,62.0
874,26250,1,62.0
875,26280,5,60.0
876,26310,5,60.0
877,26340,2,60.0
878,26370,5,60.0
879,26400,5,60.0
880,26430,5,60.0
881,26460,2,60.0
882,26490,2,60.0
883,26520,2,60.0
884,26550,2,60.0
885,26580,2,60.0
886,26610,2,60.0
887,26640,0,60.0
888,26670,1,60.0
889,26700,2,60.0
890,26730,2,60.0
891,26760,1,60.0
892,26790,2,60.0
893,26820,2,60.0
894,26850,1,59.0
895,26880,2,59.0
896,26910,2,59.0
897,26940,1,59.0
898,26970,2,59.0
899,27000,0,59.0
900,27030,1,59.0
901,27060,1,59.0
902,27090,1,59.0
903,27120,1,59.0
904,27150,1,59.0
905,27180,2,59.0
906,27210,2,59.0
907,27240,2,59.0
908,27270,2,59.0
909,27300,2,59.0
910,27330,1,59.0
911,27360,2,59.0
912,27390,2,59.0
913,27420,0,69.0
914,27450,0,69.0
915,27480,0,69.0
916,27510,0,69.0
917,27540,0,69.0
918,27570,0,69.0
919,27600,0,69.0
920,27630,0,69.0
921,27660,0,69.0
922,27690,0,69.0
923,27720,0,69.0
924,27750,0,69.0
925,27780,0,60.0
926,27810,0,60.0
927,27840,0,60.0
928,27870,0,60.0
929,27900,0,60.0
930,27930,0,60.0
931,27960,0,60.0
932,27990,0,60.0
933,28020,0,60.0
934,28050,0,60.0
935,28080,0,60.0
936,28110,0,60.0
937,28140,0,67.0
938,28170,0,67.0
939,28200,0,67.0
940,28230,0,67.0
941,28260,0,67.0
942,28290,0,67.0
943,28320,0,67.0
944,28350,0,67.0
945,28380,0,67.0
946,28410,0,69.0
947,28440,0,69.0
948,28470,0,69.0
949,28500,0,69.0
950,28530,0,69.0
0,540,0,67.0
1,570,0,73.0
2,600,0,64.0
3,630,0,63.0
4,660,0,63.0
5,690,0,62.0
6,720,0,61.0
7,750,0,62.0
8,780,0,63.0
9,810,0,64.0
10,840,0,62.0
11,870,0,64.0
12,900,0,63.0
13,930,0,65.0
14,960,0,65.0
15,990,0,61.0
16,1020,0,66.0
17,1050,0,60.0
18,1080,0,74.0
19,1110,0,60.0
20,1140,0,61.0
21,1170,0,60.0
22,1200,0,61.0
23,1230,0,59.0
24,1260,0,69.0
25,1290,0,71.0
26,1320,0,64.0
27,1350,0,63.0
28,1380,0,65.0
29,1410,0,63.0
30,1440,0,63.0
31,1470,0,68.0
32,1500,0,61.0
33,1530,0,61.0
34,1560,0,63.0
35,1590,0,62.0
36,1620,0,62.0
37,1650,0,62.0
38,1680,0,61.0
39,1710,0,68.0
40,1740,0,60.0
41,1770,0,59.0
42,1800,0,59.0
43,1830,0,64.0
44,1860,0,59.0
45,1890,0,59.0
46,1920,0,60.0
47,1950,0,61.0
48,1980,0,60.0
49,2010,0,58.0
50,2040,0,59.0
51,2070,0,59.0
52,2100,0,59.0
53,2130,0,59.0
54,2160,0,58.0
55,2190,0,59.0
56,2220,0,57.0
57,2250,0,56.0
58,2280,0,58.0
59,2310,0,57.0
60,2340,0,58.0
61,2370,0,56.0
62,2400,0,57.0
63,2430,0,58.0
64,2460,0,58.0
65,2490,0,61.0
66,2520,0,58.0
67,2550,0,56.0
68,2580,0,58.0
69,2610,0,59.0
70,2640,0,62.0
71,2670,0,64.0
72,2700,1,62.0
73,2730,1,59.0
74,2760,1,57.0
75,2790,1,58.0
76,2820,2,58.0
77,2850,2,57.0
78,2880,2,59.0
79,2910,2,65.0
80,2940,2,59.0
81,2970,2,58.0
82,3000,2,59.0
83,3030,2,59.0
84,3060,2,58.0
85,3090,2,60.0
86,3120,2,60.0
87,3150,2,60.0
88,3180,0,60.0
89,3210,2,67.0
90,3240,2,68.0
91,3270,2,62.0
92,3300,2,64.0
93,3330,2,59.0
94,3360,2,60.0
95,3390,2,60.0
96,3420,2,59.0
97,3450,2,60.0
98,3480,2,59.0
99,3510,2,60.0
100,3540,2,59.0
101,3570,2,61.0
102,3600,2,61.0
103,3630,2,62.0
104,3660,2,60.0
105,3690,2,61.0
106,3720,2,60.0
107,3750,3,62.0
108,3780,3,61.0
109,3810,3,62.0
110,3840,3,60.0
111,3870,3,61.0
112,3900,3,61.0
113,3930,3,62.0
114,3960,3,61.0
115,3990,3,62.0
116,4020,3,62.0
117,4050,3,63.0
118,4080,3,63.0
119,4110,3,63.0
120,4140,3,63.0
121,4170,3,63.0
122,4200,3,63.0
123,4230,3,62.0
124,4260,3,64.0
125,4290,3,61.0
126,4320,3,64.0
127,4350,3,59.0
128,4380,3,61.0
129,4410,3,61.0
130,4440,3,62.0
131,4470,3,63.0
132,4500,3,62.0
133,4530,3,62.0
134,4560,3,61.0
135,4590,3,64.0
136,4620,3,63.0
137,4650,3,62.0
138,4680,3,64.0
139,4710,3,64.0
140,4740,2,63.0
141,4770,2,75.0
142,4800,2,58.0
143,4830,2,61.0
144,4860,2,61.0
145,4890,2,61.0
146,4920,2,60.0
147,4950,2,62.0
148,4980,2,64.0
149,5010,2,63.0
150,5040,2,61.0
151,5070,2,61.0
152,5100,2,60.0
153,5130,2,61.0
154,5160,2,62.0
155,5190,2,62.0
156,5220,2,63.0
157,5250,2,63.0
158,5280,2,64.0
159,5310,2,64.0
160,5340,2,64.0
161,5370,2,65.0
162,5400,2,64.0
163,5430,2,64.0
164,5460,2,64.0
165,5490,2,65.0
166,5520,2,66.0
167,5550,2,64.0
168,5580,3,66.0
169,5610,3,66.0
170,5640,3,64.0
171,5670,3,66.0
172,5700,3,64.0
173,5730,3,65.0
174,5760,3,65.0
175,5790,3,66.0
176,5820,3,66.0
177,5850,3,66.0
178,5880,3,67.0
179,5910,3,67.0
180,5940,3,66.0
181,5970,3,67.0
182,6000,3,67.0
183,6030,3,66.0
184,6060,3,68.0
185,6090,3,67.0
186,6120,3,64.0
187,6150,3,64.0
188,6180,3,67.0
189,6210,3,65.0
190,6240,3,66.0
191,6270,3,68.0
192,6300,3,68.0
193,6330,3,68.0
194,6360,3,68.0
195,6390,3,68.0
196,6420,3,68.0
197,6450,3,67.0
198,6480,3,68.0
199,6510,3,68.0
200,6540,3,67.0
201,6570,3,68.0
202,6600,3,68.0
203,6630,3,69.0
204,6660,3,69.0
205,6690,3,68.0
206,6720,3,68.0
207,6750,3,68.0
208,6780,3,68.0
209,6810,3,68.0
210,6840,3,70.0
211,6870,3,68.0
212,6900,3,69.0
213,6930,3,67.0
214,6960,3,68.0
215,6990,3,69.0
216,7020,3,70.0
217,7050,3,69.0
218,7080,3,68.0
219,7110,3,68.0
220,7140,3,70.0
221,7170,3,69.0
222,7200,3,70.0
223,7230,3,70.0
224,7260,3,70.0
225,7290,3,71.0
226,7320,3,69.0
227,7350,3,70.0
228,7380,3,70.0
229,7410,2,67.0
230,7440,2,70.0
231,7470,0,68.0
232,7500,0,64.0
233,7530,1,60.0
234,7560,2,68.0
235,7590,2,66.0
236,7620,2,69.0
237,7650,2,68.0
238,7680,2,76.0
239,7710,2,79.0
240,7740,2,76.0
241,7770,2,75.0
242,7800,2,73.0
243,7830,2,76.0
244,7860,2,75.0
245,7890,2,75.0
246,7920,5,70.0
247,7950,5,73.0
248,7980,5,77.0
249,8010,5,76.0
250,8040,5,77.0
251,8070,5,74.0
252,8100,5,77.0
253,8130,5,75.0
254,8160,5,82.0
255,8190,5,77.0
256,8220,5,80.0
257,8250,5,78.0
258,8280,5,73.0
259,8310,5,76.0
260,8340,5,73.0
261,8370,5,80.0
262,8400,5,76.0
263,8430,5,74.0
264,8460,5,76.0
265,8490,5,78.0
266,8520,5,79.0
267,8550,5,77.0
268,8580,5,78.0
269,8610,5,74.0
270,8640,5,76.0
271,8670,5,76.0
272,8700,5,74.0
273,8730,1,75.0
274,8760,2,66.0
275,8790,2,75.0
276,8820,2,77.0
277,8850,2,65.0
278,8880,2,63.0
279,8910,2,64.0
280,8940,2,68.0
281,8970,2,72.0
282,9000,2,72.0
283,9030,2,71.0
284,9060,2,73.0
285,9090,2,75.0
286,9120,2,73.0
287,9150,2,71.0
288,9180,2,74.0
289,9210,2,73.0
290,9240,2,75.0
291,9270,2,73.0
292,9300,2,75.0
293,9330,2,75.0
294,9360,2,74.0
295,9390,2,76.0
296,9420,2,70.0
297,9450,2,73.0
298,9480,2,74.0
299,9510,2,73.0
300,9540,2,73.0
301,9570,2,73.0
302,9600,2,76.0
303,9630,2,74.0
304,9660,2,72.0
305,9690,2,71.0
306,9720,2,74.0
307,9750,2,73.0
308,9780,2,74.0
309,9810,2,73.0
310,9840,2,74.0
311,9870,2,71.0
312,9900,2,74.0
313,9930,2,73.0
314,9960,2,72.0
315,9990,2,74.0
316,10020,2,74.0
317,10050,2,74.0
318,10080,2,72.0
319,10110,2,74.0
320,10140,2,74.0
321,10170,2,74.0
