,TimeSec,HR,SleepLVL
153,5130,61,2
154,5160,62,2
155,5190,62,2
156,5220,63,2
157,5250,63,2
158,5280,64,2
159,5310,64,2
160,5340,64,2
161,5370,65,2
162,5400,64,2
163,5430,64,2
164,5460,64,2
165,5490,65,2
166,5520,66,2
167,5550,64,2
168,5580,66,3
169,5610,66,3
170,5640,64,3
171,5670,66,3
172,5700,64,3
173,5730,65,3
174,5760,65,3
175,5790,66,3
176,5820,66,3
177,5850,66,3
178,5880,67,3
179,5910,67,3
180,5940,66,3
181,5970,67,3
182,6000,67,3
183,6030,66,3
184,6060,68,3
185,6090,67,3
186,6120,64,3
187,6150,64,3
188,6180,67,3
189,6210,65,3
190,6240,66,3
191,6270,68,3
192,6300,68,3
193,6330,68,3
194,6360,68,3
195,6390,68,3
196,6420,68,3
197,6450,67,3
198,6480,68,3
199,6510,68,3
200,6540,67,3
201,6570,68,3
202,6600,68,3
203,6630,69,3
204,6660,69,3
205,6690,68,3
206,6720,68,3
207,6750,68,3
208,6780,68,3
209,6810,68,3
210,6840,70,3
211,6870,68,3
212,6900,69,3
213,6930,67,3
214,6960,68,3
215,6990,69,3
216,7020,70,3
217,7050,69,3
218,7080,68,3
219,7110,68,3
220,7140,70,3
221,7170,69,3
222,7200,70,3
223,7230,70,3
224,7260,70,3
225,7290,71,3
226,7320,69,3
227,7350,70,3
228,7380,70,3
229,7410,67,2
230,7440,70,2
231,7470,68,0
232,7500,64,0
233,7530,60,1
234,7560,68,2
235,7590,66,2
236,7620,69,2
237,7650,68,2
238,7680,76,2
239,7710,79,2
240,7740,76,2
241,7770,75,2
242,7800,73,2
243,7830,76,2
244,7860,75,2
245,7890,75,2
246,7920,70,5
247,7950,73,5
248,7980,77,5
249,8010,76,5
250,8040,77,5
251,8070,74,5
252,8100,77,5
253,8130,75,5
254,8160,82,5
255,8190,77,5
256,8220,80,5
257,8250,78,5
258,8280,73,5
259,8310,76,5
260,8340,73,5
261,8370,80,5
262,8400,76,5
263,8430,74,5
264,8460,76,5
265,8490,78,5
266,8520,79,5
267,8550,77,5
268,8580,78,5
269,8610,74,5
270,8640,76,5
271,8670,76,5
272,8700,74,5
273,8730,75,1
274,8760,66,2
275,8790,75,2
276,8820,77,2
277,8850,65,2
278,8880,63,2
279,8910,64,2
280,8940,68,2
281,8970,72,2
282,9000,72,2
283,9030,71,2
284,9060,73,2
285,9090,75,2
286,9120,73,2
287,9150,71,2
288,9180,74,2
289,9210,73,2
290,9240,75,2
291,9270,73,2
292,9300,75,2
293,9330,75,2
294,9360,74,2
295,9390,76,2
296,9420,70,2
297,9450,73,2
298,9480,74,2
299,9510,73,2
300,9540,73,2
301,9570,73,2
302,9600,76,2
303,9630,74,2
304,9660,72,2
305,9690,71,2
306,9720,74,2
307,9750,73,2
308,9780,74,2
309,9810,73,2
310,9840,74,2
311,9870,71,2
312,9900,74,2
313,9930,73,2
314,9960,72,2
315,9990,74,2
316,10020,74,2
317,10050,74,2
318,10080,72,2
319,10110,74,2
320,10140,74,2
321,10170,74,2
322,10200,75,3
323,10230,72,3
324,10260,73,3
325,10290,73,3
326,10320,75,3
327,10350,72,3
328,10380,72,3
329,10410,72,3
330,10440,74,3
331,10470,74,3
332,10500,73,3
333,10530,73,3
334,10560,72,3
335,10590,74,3
336,10620,75,3
337,10650,72,3
338,10680,71,3
339,10710,74,3
340,10740,74,3
341,10770,74,3
342,10800,71,3
343,10830,74,3
344,10860,73,3
345,10890,74,3
346,10920,68,3
347,10950,74,3
348,10980,73,3
349,11010,75,3
350,11040,74,3
351,11070,73,3
352,11100,73,3
353,11130,77,3
354,11160,77,3
355,11190,73,3
356,11220,74,3
357,11250,74,3
358,11280,77,3
359,11310,76,3
360,11340,74,3
361,11370,75,3
362,11400,75,3
363,11430,73,3
364,11460,75,3
365,11490,74,3
366,11520,75,3
367,11550,74,3
368,11580,72,3
369,11610,74,3
370,11640,74,3
371,11670,74,3
372,11700,68,3
373,11730,72,3
374,11760,71,3
375,11790,74,3
376,11820,71,3
377,11850,71,3
378,11880,71,3
379,11910,74,3
380,11940,70,3
381,11970,76,3
382,12000,74,3
383,12030,73,3
384,12060,75,3
385,12090,73,3
386,12120,75,3
387,12150,73,3
388,12180,75,3
389,12210,74,3
390,12240,73,3
391,12270,70,2
392,12300,68,2
393,12330,74,2
394,12360,71,2
395,12390,68,2
396,12420,71,2
397,12450,68,2
398,12480,73,2
399,12510,72,2
400,12540,77,2
401,12570,75,2
402,12600,76,2
403,12630,72,2
404,12660,72,2
405,12690,77,2
406,12720,79,2
407,12750,70,2
408,12780,73,2
409,12810,68,2
410,12840,70,5
411,12870,77,5
412,12900,75,5
413,12930,79,5
414,12960,82,5
415,12990,78,5
416,13020,77,5
417,13050,81,5
418,13080,70,5
419,13110,77,5
420,13140,81,5
421,13170,73,5
422,13200,77,5
423,13230,70,5
424,13260,82,5
425,13290,79,5
426,13320,73,5
427,13350,75,5
428,13380,77,5
429,13410,79,5
430,13440,71,5
431,13470,73,5
432,13500,73,5
433,13530,73,5
434,13560,75,5
435,13590,72,5
436,13620,77,5
437,13650,72,1
438,13680,74,2
439,13710,68,2
440,13740,71,2
441,13770,72,2
442,13800,74,2
443,13830,72,2
444,13860,75,2
445,13890,72,2
446,13920,76,2
447,13950,72,2
448,13980,70,2
449,14010,72,2
450,14040,69,2
451,14070,73,2
452,14100,71,2
453,14130,74,2
454,14160,74,2
455,14190,71,2
456,14220,73,2
457,14250,68,2
458,14280,70,2
459,14310,71,2
460,14340,70,2
461,14370,72,2
462,14400,70,2
463,14430,72,2
464,14460,70,2
465,14490,72,2
466,14520,73,2
467,14550,72,2
468,14580,70,2
469,14610,73,2
470,14640,72,2
471,14670,71,2
472,14700,70,2
473,14730,73,2
474,14760,71,2
475,14790,70,2
476,14820,71,2
477,14850,71,2
478,14880,71,2
479,14910,69,2
480,14940,69,2
481,14970,71,2
482,15000,71,1
483,15030,104,2
484,15060,66,2
485,15090,64,2
486,15120,67,2
487,15150,62,2
488,15180,65,2
489,15210,67,2
490,15240,69,2
491,15270,68,2
492,15300,63,2
493,15330,67,2
494,15360,68,2
495,15390,69,2
496,15420,68,2
497,15450,68,2
498,15480,68,2
499,15510,70,2
500,15540,68,2
501,15570,68,2
502,15600,66,2
503,15630,69,1
504,15660,66,2
505,15690,65,2
506,15720,67,2
507,15750,66,2
508,15780,66,2
509,15810,68,2
510,15840,68,2
511,15870,68,2
512,15900,69,2
513,15930,68,2
514,15960,67,2
515,15990,67,2
516,16020,68,2
517,16050,68,2
518,16080,70,2
519,16110,70,2
520,16140,72,2
521,16170,71,2
522,16200,71,2
523,16230,94,2
524,16260,71,2
525,16290,68,2
526,16320,68,2
527,16350,68,2
528,16380,65,2
529,16410,69,2
530,16440,68,2
531,16470,69,2
532,16500,67,2
533,16530,67,2
534,16560,67,2
535,16590,68,2
536,16620,70,2
537,16650,70,2
538,16680,68,2
539,16710,68,2
540,16740,68,2
541,16770,68,2
542,16800,70,2
543,16830,68,2
544,16860,70,2
545,16890,69,2
546,16920,68,2
547,16950,68,2
548,16980,66,2
549,17010,72,0
550,17040,63,1
551,17070,59,2
552,17100,69,2
553,17130,68,2
554,17160,74,2
555,17190,73,2
556,17220,71,2
557,17250,72,2
558,17280,71,0
559,17310,71,1
560,17340,68,2
561,17370,70,2
562,17400,73,2
563,17430,70,2
564,17460,69,2
565,17490,70,5
566,17520,75,5
567,17550,74,5
568,17580,74,5
569,17610,76,5
570,17640,77,5
571,17670,69,5
572,17700,69,5
573,17730,69,5
574,17760,68,5
575,17790,76,5
576,17820,72,5
577,17850,77,5
578,17880,80,5
579,17910,74,5
580,17940,79,5
581,17970,77,5
582,18000,75,5
583,18030,68,5
584,18060,73,5
585,18090,72,5
586,18120,76,5
587,18150,73,5
588,18180,73,5
589,18210,64,5
590,18240,73,5
591,18270,75,5
592,18300,73,5
593,18330,73,5
594,18360,73,1
595,18390,65,1
596,18420,66,5
597,18450,70,5
598,18480,76,5
599,18510,73,5
600,18540,72,5
601,18570,71,5
602,18600,67,5
603,18630,68,5
604,18660,70,5
605,18690,80,5
606,18720,64,5
607,18750,68,5
608,18780,69,5
609,18810,65,5
610,18840,65,5
611,18870,68,5
612,18900,68,5
613,18930,65,5
614,18960,68,5
615,18990,78,5
616,19020,82,5
617,19050,82,5
618,19080,89,0
619,19110,82,0
620,19140,83,0
621,19170,86,0
622,19200,86,0
623,19230,83,0
624,19260,115,0
625,19290,83,0
626,19320,83,0
627,19350,86,0
628,19380,84,0
629,19410,81,0
630,19440,82,0
631,19470,72,0
632,19500,73,0
633,19530,72,0
634,19560,73,0
635,19590,73,0
636,19620,75,0
637,19650,70,0
638,19680,82,0
639,19710,67,0
640,19740,67,0
641,19770,67,1
642,19800,67,1
643,19830,67,1
644,19860,66,1
645,19890,64,2
646,19920,64,2
647,19950,65,2
648,19980,67,2
649,20010,64,2
650,20040,65,2
651,20070,63,2
652,20100,67,2
653,20130,63,2
654,20160,63,2
655,20190,62,2
656,20220,66,2
657,20250,65,2
658,20280,65,2
659,20310,66,2
660,20340,68,2
661,20370,68,2
662,20400,60,2
663,20430,63,2
664,20460,65,1
665,20490,63,1
666,20520,63,1
667,20550,65,2
668,20580,64,2
669,20610,65,0
670,20640,61,0
671,20670,78,0
672,20700,70,0
673,20730,77,0
674,20760,63,0
675,20790,64,1
676,20820,64,1
677,20850,65,2
678,20880,66,2
679,20910,68,2
680,20940,64,2
681,20970,63,2
682,21000,64,2
683,21030,64,2
684,21060,64,2
685,21090,62,2
686,21120,62,2
687,21150,60,2
688,21180,62,2
689,21210,65,2
690,21240,66,2
691,21270,64,2
692,21300,67,2
693,21330,65,2
694,21360,63,2
695,21390,63,2
696,21420,66,2
697,21450,66,2
698,21480,65,2
699,21510,64,2
700,21540,62,2
701,21570,64,2
702,21600,65,2
703,21630,65,2
704,21660,68,2
705,21690,70,2
706,21720,71,2
707,21750,74,2
708,21780,75,2
709,21810,73,2
710,21840,71,2
711,21870,72,2
712,21900,72,2
713,21930,67,2
714,21960,68,2
715,21990,67,2
716,22020,68,2
717,22050,70,2
718,22080,69,2
719,22110,71,2
720,22140,71,2
721,22170,68,2
722,22200,69,2
723,22230,69,2
724,22260,59,2
725,22290,61,2
726,22320,66,2
727,22350,65,2
728,22380,69,2
729,22410,68,2
730,22440,63,2
731,22470,65,2
732,22500,67,2
733,22530,65,2
734,22560,66,2
735,22590,64,2
736,22620,69,2
737,22650,61,2
738,22680,66,2
739,22710,67,2
740,22740,65,2
741,22770,63,2
742,22800,64,2
743,22830,69,2
744,22860,65,2
745,22890,69,2
746,22920,66,2
747,22950,64,2
748,22980,68,2
749,23010,63,2
750,23040,63,2
751,23070,64,2
752,23100,68,2
753,23130,64,2
754,23160,67,5
755,23190,65,5
756,23220,75,5
757,23250,64,5
758,23280,67,5
759,23310,65,5
760,23340,66,5
761,23370,67,5
762,23400,68,5
763,23430,70,5
764,23460,68,5
765,23490,74,5
766,23520,68,5
767,23550,67,5
768,23580,73,5
769,23610,71,5
770,23640,71,5
771,23670,71,5
772,23700,67,5
773,23730,73,5
774,23760,75,1
775,23790,71,1
776,23820,67,0
777,23850,75,1
778,23880,69,1
779,23910,72,5
780,23940,71,5
781,23970,70,5
782,24000,75,5
783,24030,71,5
784,24060,76,5
785,24090,75,5
786,24120,74,5
787,24150,73,5
788,24180,70,5
789,24210,73,5
790,24240,73,5
791,24270,70,5
792,24300,71,5
793,24330,71,5
794,24360,74,5
795,24390,70,5
796,24420,74,5
797,24450,75,5
798,24480,77,5
799,24510,75,5
800,24540,74,5
801,24570,75,5
802,24600,72,5
803,24630,72,5
804,24660,72,5
805,24690,68,5
806,24720,72,5
807,24750,74,5
808,24780,77,5
809,24810,77,5
810,24840,74,5
811,24870,72,5
812,24900,73,5
813,24930,68,5
814,24960,68,5
815,24990,68,5
816,25020,77,0
817,25050,98,0
818,25080,68,5
819,25110,69,5
820,25140,70,5
821,25170,68,5
822,25200,71,5
823,25230,70,5
824,25260,73,5
825,25290,67,5
826,25320,64,5
827,25350,70,5
828,25380,69,5
829,25410,70,5
830,25440,69,5
831,25470,69,5
832,25500,70,5
833,25530,68,5
834,25560,67,5
835,25590,69,5
836,25620,68,5
837,25650,75,5
838,25680,74,5
839,25710,77,5
840,25740,70,5
841,25770,75,5
842,25800,63,5
843,25830,70,5
844,25860,71,5
845,25890,75,5
846,25920,70,5
847,25950,76,5
848,25980,75,5
849,26010,77,5
850,26040,75,5
851,26070,76,5
852,26100,78,5
853,26130,78,5
854,26160,77,5
855,26190,76,5
856,26220,72,5
857,26250,74,5
858,26280,77,5
859,26310,69,5
860,26340,72,5
861,26370,74,5
862,26400,70,5
863,26430,68,5
864,26460,65,0
865,26490,77,1
866,26520,66,2
867,26550,70,2
868,26580,71,2
869,26610,73,2
870,26640,75,2
871,26670,75,2
872,26700,71,2
873,26730,71,2
874,26760,74,2
875,26790,77,2
876,26820,74,2
877,26850,76,2
878,26880,74,2
879,26910,70,2
880,26940,73,2
881,26970,69,2
882,27000,71,2
883,27030,74,2
884,27060,75,2
885,27090,71,2
886,27120,71,2
887,27150,74,2
888,27180,70,2
889,27210,73,2
890,27240,70,2
891,27270,72,2
892,27300,73,2
893,27330,73,2
894,27360,73,2
895,27390,71,2
896,27420,72,2
897,27450,72,2
898,27480,75,2
899,27510,68,2
900,27540,67,2
901,27570,69,2
902,27600,66,2
903,27630,72,2
904,27660,68,2
905,27690,69,2
906,27720,71,2
907,27750,72,2
908,27780,70,2
909,27810,70,2
910,27840,69,2
911,27870,71,2
912,27900,68,2
913,27930,73,2
914,27960,71,2
915,27990,72,2
916,28020,72,0
917,28050,72,1
918,28080,73,0
919,28110,76,1
920,28140,82,2
921,28170,72,0
922,28200,76,0
923,28230,71,1
924,28260,74,1
925,28290,72,0
926,28320,75,0
927,28350,74,1
928,28380,75,2
929,28410,75,2
930,28440,77,2
931,28470,82,0
932,28500,77,1
933,28530,71,2
934,28560,69,2
935,28590,73,2
936,28620,71,2
937,28650,72,2
938,28680,70,2
939,28710,74,2
940,28740,69,2
941,28770,70,2
942,28800,68,2
943,28830,69,2
944,28860,68,2
945,28890,71,2
946,28920,73,2
947,28950,79,2
